Month,Hub,# of Dispatched Orders,# FD Orders,# RTO Orders,Delivery success Rate %,FD Delivery success Rate %,RTO Delivery success Rate %,Total Rev,# Cairo Orders,# Alex Orders,# Tanta Orders,# Banha Orders,# Mansoura Orders
Apr-19,Cairo,5,5,0,1,1,0,1314,1,3,1,0,0
May-19,Mansoura,5,5,0,1,1,0,4726.5,2,2,0,1,0
May-19,Cairo,31,31,0,0.94,0.94,0,20060.5,9,8,1,12,1
May-19,Alexandria,18,18,0,1,1,0,6667.5,5,5,3,2,3
Jun-19,Alexandria,21,21,0,0.95,0.95,0,12143.5,10,8,1,2,0
Jun-19,Mansoura,8,8,0,0.88,0.88,0,6868.5,4,1,0,2,1
Jun-19,Cairo,44,44,0,0.91,0.91,0,35080.5,9,14,6,10,5
Jul-19,Mansoura,12,12,0,0.92,0.92,0,5848,7,2,1,2,0
Jul-19,Cairo,76,76,0,0.89,0.89,0,46586,29,18,7,16,6
Jul-19,Alexandria,38,38,0,0.95,0.95,0,12845.5,11,10,1,15,1
Aug-19,Alexandria,40,40,0,0.72,0.72,0,13986,16,12,4,5,3
Aug-19,Cairo,79,78,1,0.84,0.85,0,46046,22,22,7,20,8
Aug-19,Mansoura,14,14,0,0.93,0.93,0,10525.5,5,3,0,6,0
Sep-19,Alexandria,48,47,1,0.77,0.79,0,21464.5,18,10,4,10,6
Sep-19,Cairo,95,93,2,0.78,0.78,0.5,47902,29,24,8,25,9
Sep-19,Mansoura,16,16,0,0.63,0.63,0,3042,5,6,2,3,0
Oct-19,Alexandria,39,36,3,0.77,0.78,0.67,24568,10,12,5,10,2
Oct-19,Mansoura,13,12,1,0.85,0.92,0,7120.5,5,4,1,3,0
Oct-19,Cairo,84,74,10,0.87,0.89,0.7,48534,30,23,8,18,5
Nov-19,Alexandria,33,29,4,0.73,0.72,0.75,19597.5,12,10,1,6,4
Nov-19,Mansoura,11,10,1,0.91,0.9,1,6209,6,1,0,4,0
Nov-19,Cairo,64,60,4,0.7,0.72,0.5,33715.5,19,21,3,19,2
Dec-19,Alexandria,36,31,5,0.94,0.94,1,22279,11,11,3,9,2
Dec-19,Mansoura,12,11,1,0.67,0.64,1,5591.5,2,3,0,4,3
Dec-19,Cairo,73,68,5,0.9,0.91,0.8,36125,26,21,3,17,6
Jan-20,Alexandria,42,39,3,0.81,0.82,0.67,17980.5,10,14,2,13,3
Jan-20,Mansoura,14,12,2,0.79,0.75,1,12207,4,5,2,3,0
Jan-20,Cairo,83,76,7,0.8,0.8,0.71,50522.5,18,37,4,19,5
Feb-20,Alexandria,39,35,4,0.77,0.74,1,23522.5,12,10,3,11,3
Feb-20,Mansoura,13,11,2,0.77,0.73,1,3751,3,6,0,4,0
Feb-20,Cairo,79,73,6,0.77,0.75,1,38274,24,31,4,12,8
Mar-20,Mansoura,9,8,1,0.67,0.63,1,4544,3,2,0,4,0
Mar-20,Cairo,55,54,1,0.65,0.65,1,28486.5,15,14,4,17,5
Mar-20,Alexandria,30,30,0,0.77,0.77,0,19101,9,14,3,3,1
Apr-20,Alexandria,39,39,0,0.85,0.85,0,27661.5,19,8,2,10,0
Apr-20,Cairo,79,79,0,0.87,0.87,0,47312.5,25,23,9,16,6
Apr-20,Mansoura,14,13,1,0.86,0.92,0,3585,5,3,1,3,2
May-20,Alexandria,30,25,5,0.87,1,0.2,20334,9,7,2,10,2
May-20,Mansoura,10,10,0,0.9,0.9,0,5054,6,2,1,1,0
May-20,Cairo,61,59,2,0.89,0.9,0.5,36555,21,17,4,14,5
Jun-20,Mansoura,12,12,0,0.83,0.83,0,2770,3,3,2,4,0
Jun-20,Cairo,76,65,11,0.86,0.86,0.82,50516,25,25,6,13,7
Jun-20,Alexandria,38,32,6,0.76,0.81,0.5,23941.5,11,15,3,8,1
Jul-20,Alexandria,55,40,15,0.64,0.72,0.4,18875.5,17,18,5,10,5
Jul-20,Mansoura,19,15,4,0.58,0.53,0.75,7236.5,5,5,1,7,1
Jul-20,Cairo,109,84,25,0.66,0.7,0.52,56951,27,31,10,28,13
Aug-20,Alexandria,48,38,10,0.63,0.61,0.7,22958,16,17,0,10,5
Aug-20,Cairo,96,65,31,0.82,0.86,0.74,45198.5,26,31,4,25,10
Aug-20,Mansoura,16,11,5,0.75,1,0.2,6572,4,5,3,3,1
Sep-20,Alexandria,39,20,19,0.9,0.8,1,22890,13,10,4,8,4
Sep-20,Mansoura,13,10,3,0.92,0.9,1,8680,2,3,4,4,0
Sep-20,Cairo,81,51,30,0.81,0.73,0.97,58802.5,24,28,2,21,6
Oct-20,Alexandria,36,24,12,0.83,0.79,0.92,15922,15,13,2,3,3
Oct-20,Mansoura,12,6,6,0.92,0.83,1,8385,2,5,1,3,1
Oct-20,Cairo,69,44,25,0.91,0.86,1,37387.5,21,20,7,16,5
Nov-20,Mansoura,7,6,1,1,1,1,5754,3,1,1,2,0
Nov-20,Cairo,47,31,16,0.85,0.94,0.69,20920,21,14,2,8,2
Nov-20,Alexandria,23,18,5,0.87,0.89,0.8,13216,8,8,2,4,1
Dec-20,Alexandria,34,28,6,0.76,0.82,0.5,21688.5,13,12,1,5,3
Dec-20,Mansoura,12,9,3,0.75,0.78,0.67,6989.5,4,7,0,1,0
Dec-20,Cairo,70,48,22,0.89,0.96,0.73,36398.5,21,24,4,18,3
Jan-21,Mansoura,11,6,5,0.64,0.67,0.6,2683.5,3,4,0,3,1
Jan-21,Cairo,68,39,29,0.82,0.85,0.79,35219,24,18,7,13,6
Jan-21,Alexandria,36,27,9,0.89,0.89,0.89,15683,11,10,6,6,3
Feb-21,Alexandria,30,12,18,0.9,0.92,0.89,15059.5,12,6,1,6,5
Feb-21,Mansoura,11,8,3,0.64,0.63,0.67,4827.5,5,1,1,2,2
Feb-21,Cairo,63,36,27,0.76,0.86,0.63,38055.5,25,19,3,8,8
Mar-21,Alexandria,33,20,13,0.88,0.85,0.92,21875,12,7,6,3,5
Mar-21,Mansoura,11,7,4,0.91,0.86,1,4326.5,0,5,1,2,3
Mar-21,Cairo,68,49,19,0.85,0.8,1,39601.5,23,22,7,15,1
Apr-21,Alexandria,33,26,7,0.73,0.73,0.71,18144,10,13,2,8,0
Apr-21,Mansoura,11,8,3,0.82,1,0.33,10033.5,5,1,0,5,0
Apr-21,Cairo,63,32,31,0.9,0.91,0.9,30160,13,20,13,14,3
May-21,Alexandria,39,19,20,0.67,0.63,0.7,10904.5,9,18,2,8,2
May-21,Mansoura,13,5,8,0.92,1,0.88,14022.5,5,3,1,4,0
May-21,Cairo,81,30,51,0.84,0.83,0.84,58307,31,24,4,17,5
Jun-21,Cairo,73,32,41,0.89,0.97,0.83,38303.5,21,28,3,15,6
Jun-21,Alexandria,39,22,17,0.87,0.86,0.88,28467,12,14,1,7,5
Jun-21,Mansoura,13,8,5,0.77,0.88,0.6,8837,5,3,1,3,1
Jul-21,Mansoura,10,3,7,0.7,1,0.57,4493.5,0,4,0,4,2
Jul-21,Cairo,66,25,41,0.79,0.88,0.73,41367.5,18,17,4,18,9
Jul-21,Alexandria,31,17,14,0.77,0.88,0.64,13604.5,6,12,2,8,3
Aug-21,Mansoura,11,4,7,0.91,0.75,1,6004,4,4,0,2,1
Aug-21,Alexandria,34,17,17,0.76,0.71,0.82,13657.5,9,10,3,9,3
Aug-21,Cairo,66,31,35,0.82,0.77,0.86,31597,16,26,3,16,5
Sep-21,Mansoura,11,4,7,0.55,0.5,0.57,4453,3,6,1,1,0
Sep-21,Cairo,66,30,36,0.71,0.87,0.58,18010,19,16,4,25,2
Sep-21,Alexandria,33,17,16,0.76,0.88,0.63,20224,6,16,4,5,2
Oct-21,Mansoura,8,6,2,0.75,0.83,0.5,1447,2,4,0,1,1
Oct-21,Cairo,48,25,23,0.79,0.84,0.74,28163,11,14,4,13,6
Oct-21,Alexandria,23,16,7,0.74,0.75,0.71,14096.5,9,7,2,3,2
Nov-21,Alexandria,38,18,20,0.61,0.67,0.55,11700,11,9,4,12,2
Nov-21,Cairo,73,39,34,0.79,0.9,0.68,33510.5,11,26,12,16,8
Nov-21,Mansoura,13,9,4,0.69,0.67,0.75,4383.5,6,3,1,2,1
Dec-21,Alexandria,36,13,23,0.78,0.69,0.83,19286.5,13,9,2,10,2
Dec-21,Mansoura,12,4,8,0.67,0.75,0.63,2908.5,4,2,0,4,2
Dec-21,Cairo,76,31,45,0.76,0.84,0.71,42092,22,25,4,21,4
Jan-22,Mansoura,10,7,3,0.7,0.71,0.67,2300,1,3,2,2,2
Jan-22,Alexandria,32,14,18,0.72,0.79,0.67,9405.5,14,7,1,9,1
Jan-22,Cairo,61,33,28,0.84,0.91,0.75,33980,20,20,6,9,6
Feb-22,Cairo,48,27,21,0.9,0.85,0.95,27875.5,13,16,6,9,4
Feb-22,Alexandria,25,15,10,0.88,0.8,1,13907,11,6,0,7,1
Feb-22,Mansoura,9,5,4,1,1,1,5101.5,4,2,1,2,0
Mar-22,Alexandria,36,21,15,0.92,0.86,1,20394,6,12,2,11,5
Mar-22,Mansoura,12,7,5,1,1,1,5142,2,6,0,3,1
Mar-22,Cairo,75,36,39,0.89,0.89,0.9,54026,24,20,6,18,7
Apr-22,Cairo,75,42,33,0.71,0.79,0.61,37496,25,21,5,19,5
Apr-22,Alexandria,39,15,24,0.67,0.73,0.63,14935,10,15,4,8,2
Apr-22,Mansoura,13,6,7,0.69,0.83,0.57,8057.5,6,4,0,1,2
May-22,Mansoura,11,3,8,0.64,0.67,0.63,7642,4,3,0,4,0
May-22,Cairo,72,33,39,0.69,0.7,0.69,30665.5,21,26,6,18,1
May-22,Alexandria,36,19,17,0.5,0.68,0.29,14266.5,11,15,1,6,3
Jun-22,Alexandria,36,13,23,0.86,1,0.78,22379.5,14,12,2,7,1
Jun-22,Cairo,72,36,36,0.82,0.89,0.75,37106,19,24,10,17,2
Jun-22,Mansoura,13,4,9,0.92,0.75,1,6186.5,5,6,0,2,0
Jul-22,Alexandria,36,18,18,0.81,0.94,0.67,22156,14,7,2,7,6
Jul-22,Mansoura,12,4,8,0.92,1,0.88,3029.5,7,1,1,2,1
Jul-22,Cairo,76,39,37,0.76,0.82,0.7,33984.5,30,18,3,19,6
Aug-22,Alexandria,42,27,15,0.93,0.96,0.87,15722,14,17,2,8,1
Aug-22,Cairo,82,50,32,0.77,0.82,0.69,40747.5,25,28,8,12,9
Aug-22,Mansoura,14,4,10,0.86,1,0.8,9344,4,4,0,5,1
Sep-22,Mansoura,13,9,4,0.92,0.89,1,5685,4,5,0,3,1
Sep-22,Cairo,82,51,31,0.85,0.86,0.84,45882,26,27,7,14,8
Sep-22,Alexandria,41,27,14,0.78,0.81,0.71,22591.5,9,16,2,7,7
Oct-22,Alexandria,28,16,12,0.75,0.69,0.83,14141,6,4,4,12,2
Oct-22,Mansoura,10,3,7,0.9,1,0.86,6465,3,3,0,2,2
Oct-22,Cairo,59,30,29,0.76,0.63,0.9,36756.5,17,14,7,9,12
Nov-22,Alexandria,45,29,16,0.78,0.83,0.69,14796,14,12,5,10,4
Nov-22,Mansoura,15,6,9,0.73,0.67,0.78,10075,4,2,2,7,0
Nov-22,Cairo,91,63,28,0.86,0.94,0.68,54165.5,27,35,5,18,6
Dec-22,Alexandria,54,42,12,0.87,0.93,0.67,24472,17,12,6,16,3
Dec-22,Mansoura,18,13,5,0.94,0.92,1,7344,5,8,1,4,0
Dec-22,Cairo,104,73,31,0.85,0.85,0.84,63285,28,40,7,21,8
Jan-23,Mansoura,15,12,3,1,1,1,6903,4,7,1,2,1
Jan-23,Cairo,94,86,8,0.88,0.88,0.88,53313,23,33,3,23,12
Jan-23,Alexandria,46,39,7,0.85,0.85,0.86,30553,14,14,7,7,4
Feb-23,Cairo,54,49,5,0.85,0.84,1,29347,19,10,3,16,6
Feb-23,Alexandria,29,26,3,0.83,0.81,1,9045,8,10,1,8,2
Feb-23,Mansoura,10,10,0,1,1,0,9219.5,1,4,1,3,1
Mar-23,Alexandria,15,15,0,0.87,0.87,0,6483.5,4,4,2,2,3
Mar-23,Mansoura,5,5,0,1,1,0,2158.5,1,2,1,1,0
Mar-23,Cairo,34,30,4,0.85,0.83,1,13065.5,11,8,4,8,3
Apr-23,Cairo,26,24,2,0.92,0.92,1,9688,7,5,5,7,2
Apr-23,Alexandria,15,14,1,0.93,0.93,1,3695.5,3,5,3,3,1
Apr-23,Mansoura,5,4,1,0.8,0.75,1,4043.5,4,0,0,1,0
May-23,Alexandria,12,11,1,0.92,0.91,1,11700.5,5,2,2,2,1
May-23,Mansoura,4,3,1,1,1,1,3509,2,1,1,0,0
May-23,Cairo,27,24,3,0.74,0.71,1,7500.5,9,10,2,4,2
Jun-23,Alexandria,9,9,0,0.78,0.78,0,3075,3,3,1,2,0
Jun-23,Mansoura,3,3,0,1,1,0,628,2,1,0,0,0
Jun-23,Cairo,20,18,2,0.8,0.78,1,6783.5,11,2,3,4,0
Jul-23,Alexandria,9,9,0,1,1,0,9269.5,3,2,2,2,0
Jul-23,Mansoura,3,3,0,0.33,0.33,0,658.5,1,1,0,1,0
Jul-23,Cairo,17,16,1,0.88,0.88,1,7862.5,3,6,0,8,0
Aug-23,Alexandria,9,7,2,0.78,0.71,1,4141,1,4,0,3,1
Aug-23,Mansoura,3,3,0,0.67,0.67,0,3229,1,1,0,1,0
Aug-23,Cairo,17,15,2,0.71,0.67,1,14242,3,10,0,4,0
Sep-23,Alexandria,6,6,0,0.5,0.5,0,6667,5,0,0,1,0
Sep-23,Mansoura,2,2,0,0.5,0.5,0,764,0,0,1,1,0
Sep-23,Cairo,14,9,5,0.79,0.67,1,5868.5,3,5,0,6,0
Oct-23,Cairo,55,43,12,0.91,0.88,1,36177,21,20,2,9,3
Oct-23,Alexandria,30,26,4,0.87,0.85,1,15702.5,11,11,1,4,3
Oct-23,Mansoura,10,7,3,1,1,1,6587,2,4,1,2,1
Nov-23,Alexandria,24,19,5,0.88,0.84,1,17341,5,7,1,9,2
Nov-23,Mansoura,8,7,1,1,1,1,8149,4,0,0,3,1
Nov-23,Cairo,54,48,6,0.83,0.81,1,27882.5,19,11,5,15,4
Dec-23,Alexandria,9,7,2,0.67,0.57,1,5088,3,0,2,3,1
Dec-23,Cairo,12,11,1,0.67,0.64,1,10677.5,4,5,2,1,0
Dec-23,Mansoura,3,2,1,1,1,1,3521,1,1,1,0,0
Jan-24,Cairo,2,1,1,1,1,1,480.5,0,2,0,0,0
Feb-24,Cairo,3,2,1,1,1,1,3521.5,2,0,0,1,0
Mar-24,Cairo,1,1,0,1,1,0,453.5,0,1,0,0,0
Mar-24,Alexandria,3,1,2,1,1,1,850,1,1,0,1,0
Mar-24,Mansoura,1,0,1,1,0,1,306,1,0,0,0,0
